epoch,accuracy,val_accuracy
1,0.6027357578277588,0.5635338425636292
2,0.6516368389129639,0.5936090350151062
3,0.6643839478492737,0.6120300889015198
4,0.6733868718147278,0.6266917586326599
5,0.6810956001281738,0.62556391954422
6,0.6843632459640503,0.6281954646110535
7,0.6874993443489075,0.6270676851272583
8,0.6901732087135315,0.6263157725334167
9,0.6926763653755188,0.6266917586326599
10,0.6930817365646362,0.6315789222717285
11,0.7105507254600525,0.6496240496635437
12,0.7159091234207153,0.6545112729072571
13,0.7194114923477173,0.6571428775787354
14,0.7215200066566467,0.6563909649848938
15,0.7224870920181274,0.6567668914794922
16,0.7241867184638977,0.6563909649848938
17,0.7243609428405762,0.655639111995697
18,0.7249689698219299,0.6545112729072571
19,0.7206417322158813,0.6575188040733337
20,0.7217190861701965,0.6571428775787354
21,0.7228320240974426,0.6597744226455688
22,0.7226293683052063,0.6593984961509705
23,0.7228533625602722,0.6593984961509705
24,0.7239449620246887,0.6586466431617737
25,0.7238702774047852,0.6578947305679321
26,0.7224515676498413,0.6593984961509705
