epoch,accuracy,val_accuracy
1,0.16085106134414673,0.1867007613182068
2,0.23999999463558197,0.29923275113105774
3,0.27148935198783875,0.3273657262325287
4,0.30468085408210754,0.3324808180332184
5,0.33276596665382385,0.42455244064331055
6,0.3676595687866211,0.42966753244400024
7,0.37021276354789734,0.4578005075454712
8,0.3838297724723816,0.45524296164512634
9,0.3795744776725769,0.4578005075454712
10,0.4621276557445526,0.5166240334510803
11,0.5021276473999023,0.5421994924545288
12,0.5174468159675598,0.5703324675559998
13,0.5548936128616333,0.5703324675559998
14,0.5600000023841858,0.5831202268600464
15,0.5642552971839905,0.6317135691642761
16,0.5965957641601562,0.6035805344581604
17,0.5982978940010071,0.6470588445663452
18,0.6170212626457214,0.6649616360664368
19,0.6272340416908264,0.6598465442657471
20,0.704680860042572,0.6803069114685059
21,0.6808510422706604,0.7340153455734253
22,0.7310638427734375,0.710997462272644
23,0.7463829517364502,0.7442455291748047
24,0.7557446956634521,0.7237851619720459
25,0.7217020988464355,0.6854220032691956
26,0.7642553448677063,0.7186700701713562
27,0.7744680643081665,0.7084398865699768
28,0.7880851030349731,0.6982097029685974
29,0.8042553067207336,0.7493606209754944
30,0.8085106611251831,0.6751918196678162
31,0.8553191423416138,0.7621483206748962
32,0.8297872543334961,0.7698209881782532
33,0.8306382894515991,0.7672634124755859
34,0.8714893460273743,0.7749360799789429
35,0.8621276617050171,0.739130437374115
36,0.8510638475418091,0.7442455291748047
37,0.8765957355499268,0.687979519367218
38,0.8740425705909729,0.7212276458740234
39,0.8927659392356873,0.7774935960769653
40,0.8902127742767334,0.7928388714790344
41,0.8782978653907776,0.7493606209754944
42,0.9182978868484497,0.7851662635803223
43,0.9200000166893005,0.7621483206748962
44,0.9225531816482544,0.7749360799789429
45,0.9225531816482544,0.7749360799789429
46,0.9174467921257019,0.7698209881782532
47,0.9353191256523132,0.7365728616714478
48,0.9327659606933594,0.7570332288742065
49,0.8910638093948364,0.7953964471817017
50,0.9217021465301514,0.8030690550804138
51,0.925106406211853,0.7800511717796326
52,0.9378723502159119,0.790281355381012
53,0.925957441329956,0.7851662635803223
54,0.9353191256523132,0.7749360799789429
55,0.9438297748565674,0.7570332288742065
56,0.9395744800567627,0.790281355381012
57,0.9097872376441956,0.7340153455734253
58,0.925106406211853,0.7672634124755859
59,0.9285106658935547,0.7800511717796326
60,0.9285106658935547,0.8081841468811035
61,0.9327659606933594,0.8056265711784363
62,0.9429787397384644,0.7877237796783447
63,0.947234034538269,0.8056265711784363
64,0.9514893889427185,0.7877237796783447
65,0.9634042382240295,0.7851662635803223
66,0.9336169958114624,0.7621483206748962
67,0.9429787397384644,0.7468030452728271
68,0.9540425539016724,0.7698209881782532
69,0.9531915187835693,0.7928388714790344
70,0.9497872591018677,0.7928388714790344
71,0.9642553329467773,0.7877237796783447
72,0.9651063680648804,0.7851662635803223
73,0.9693617224693298,0.7800511717796326
74,0.9659574627876282,0.8005114793777466
75,0.9557446837425232,0.8030690550804138
76,0.9608510732650757,0.7774935960769653
77,0.9736170172691345,0.7774935960769653
78,0.958297848701477,0.7774935960769653
79,0.9736170172691345,0.7953964471817017
80,0.9659574627876282,0.7979539632797241
81,0.9710638523101807,0.7953964471817017
82,0.9693617224693298,0.7953964471817017
83,0.9727659821510315,0.790281355381012
84,0.9710638523101807,0.7800511717796326
85,0.9727659821510315,0.7877237796783447
86,0.9727659821510315,0.7800511717796326
87,0.968510627746582,0.7749360799789429
88,0.9727659821510315,0.790281355381012
